case_id,split,opponent,side,seed,controller,outcome,end_condition,episode_seconds,damage_dealt,damage_received,health_margin,ownship_crash,target_crash,first_damage_s,phase1_cone_time_s,phase2_cone_time_s,phase3_cone_time_s,gate_active_ratio,nonzero_intervention_frames,min_altitude_m,min_speed_m_s,latency_ms_max,throttle_difference_max,invalid_or_nonfinite_actions,telemetry_sha256
held_out_bt_0815_left_s8903,held_out,bt_0815,left,8903,bc,win,target altitude below min,39.36666666666667,0.0,0.0,0.0,False,True,,0.0,0.0,0.0,0.20237087214225233,211,475.66021200000006,186.638832,0.0858000130392611,0.0,0,0100A5C7A49FED267AE29517B4482DDE81553E117C28DAF2BD24BB486F915F25
held_out_bt_0815_right_s8904,held_out,bt_0815,right,8904,pure,win,target altitude below min,52.0,0.0,0.0,0.0,False,True,,0.0,0.0,0.0,0.0,0,1152.2147136,186.638832,0.0,0.0,0,D4F192D67CE4B2740B4B143279A6D4BDEF195131AAE192BE5B81E03C0B9D7266
held_out_bt_0815_right_s8904,held_out,bt_0815,right,8904,bt_default,win,target altitude below min,52.0,0.0,0.0,0.0,False,True,,0.0,0.0,0.0,0.08205128205128205,0,1152.2147136,186.638832,0.010899966582655907,0.0,0,404D720DE700F8913CE91C48B5F6AE8913EC144412CDFB10BD78AC7FABF2FD4B
held_out_bt_0815_right_s8904,held_out,bt_0815,right,8904,bc,win,target altitude below min,50.88333333333333,0.0,0.0,0.0,False,True,,0.0,0.0,0.0,0.08483458892892237,101,1118.4398256000002,186.638832,0.08319999324157834,0.0,0,36BBE5D3C2B9D78DF98731D1D84A6FD1AA2128B66FF18641AA1C2AC588663739
held_out_bt_aip2_left_s8905,held_out,bt_aip2,left,8905,pure,win,target altitude below min,39.05,0.0,0.0,0.0,False,True,,0.0,0.0,0.0,0.0,0,460.2903672,186.638832,0.0,0.0,0,3E319CED0E84208842DCE373A3CAE8B1BB113FC8126F4E473EF7A7FB9B2D0120
held_out_bt_aip2_left_s8905,held_out,bt_aip2,left,8905,bt_default,win,target altitude below min,39.05,0.0,0.0,0.0,False,True,,0.0,0.0,0.0,0.24413145539906103,0,460.2903672,186.638832,0.016400008462369442,0.0,0,1EF4D8F638A8188F4DF710DF6514B07F9195CFCBFB1378A2CDCB0E40FCC05338
held_out_bt_aip2_left_s8905,held_out,bt_aip2,left,8905,bc,win,target altitude below min,39.2,0.0,0.0,0.0,False,True,,0.0,0.0,0.0,0.23767006802721088,252,441.8332032,186.638832,0.060699996538460255,0.0,0,D5674144D5816438A258B60A3C720657B088B4E85FDBFCDA2EA7863690C0AB43
held_out_bt_aip2_right_s8906,held_out,bt_aip2,right,8906,pure,win,target altitude below min,51.81666666666667,0.0,0.0,0.0,False,True,,0.0,0.0,0.0,0.0,0,1114.2567504,186.638832,0.0,0.0,0,7E0B7AD50C6E62DF9126B6D33A153E246A8A2256EFD533BE4765ADD64DC6F462
held_out_bt_aip2_right_s8906,held_out,bt_aip2,right,8906,bt_default,win,target altitude below min,51.81666666666667,0.0,0.0,0.0,False,True,,0.0,0.0,0.0,0.08234158893534899,0,1114.2567504,186.638832,0.013699987903237343,0.0,0,26F5A4FB8CC170DAD02FF518CC72256127A7771E9FCFDDC51C80FD2000E99775
held_out_bt_aip2_right_s8906,held_out,bt_aip2,right,8906,bc,win,target altitude below min,50.65,0.0,0.0,0.0,False,True,,0.0,0.0,0.0,0.08522540309312274,101,1056.9583128,186.638832,0.05959998816251755,0.0,0,295A45F4F2F4B5EDD6F00A6C36DBACD6936AEF0D4A2F2093FA9DFB5ACC75A52A
